date,episode,segment,model,mode,input_reference,prompt_file,seed,duration,resolution,result_path,score,status,user_feedback,issue,next_action
2026-05-18,ep001,segment01_attack_keyframe_02,builtin_image_gen,image_generation_with_reference,monster_model_sheet_v003 + KF01E_full_body + KF01F_previous_attack,02_prompts/segments/ep001_segment01_attack_vortex_ray_prompt_v001_zh.md,none,image,1672x941,03_keyframes/episode_001/KF01F_monster_first_attack/ep001_KF01F_02_mouth_charge_candidate_v001.png,4,draft,用户要求：开始生成雪怪肚子漩涡聚集能量并发射射线的几个关键帧和 prompt；后续 prompt 默认中文。,本帧用于表现腹部漩涡满功率聚能并把能量向嘴部输送；射线尚未完全离开嘴巴。,后续可用作攻击段故事板第二阶段：张嘴蓄发。
2026-05-18,ep001,segment01_attack_keyframe_03,builtin_image_gen,image_generation_with_reference,monster_model_sheet_v003 + KF01E_full_body + KF01F_previous_attack,02_prompts/segments/ep001_segment01_attack_vortex_ray_prompt_v001_zh.md,none,image,1672x941,03_keyframes/episode_001/KF01F_monster_first_attack/ep001_KF01F_03_ray_sweep_candidate_v001.png,4,draft,用户要求：开始生成雪怪肚子漩涡聚集能量并发射射线的几个关键帧和 prompt；后续 prompt 默认中文。,本帧用于表现从嘴部发射蓝白冰雪射线并贴着前景冰面从右向左横扫；能量来源仍为腹部漩涡。,后续可用作攻击段故事板第三阶段：射线横扫并留下地面痕迹。
2026-05-18,ep001,segment01_attack_keyframe_04,builtin_image_gen,image_generation_with_reference,monster_model_sheet_v003 + KF01E_full_body + KF01F_previous_attack,02_prompts/segments/ep001_segment01_attack_vortex_ray_prompt_v001_zh.md,none,image,1672x941,03_keyframes/episode_001/KF01F_monster_first_attack/ep001_KF01F_04_after_ray_vortex_fade_candidate_v001.png,4,draft,用户要求：开始生成雪怪肚子漩涡聚集能量并发射射线的几个关键帧和 prompt；后续 prompt 默认中文。,本帧用于表现射线释放后地面保留霜白刮痕与冰屑痕迹；腹部漩涡逐渐变淡并回到常态。,后续可用作攻击段故事板第四阶段：攻击余波和漩涡降亮。
2026-05-18,ep001,segment01_attack_storyboard,builtin_image_gen,image_generation_with_reference,monster_model_sheet_v003 + KF01F attack sequence keyframes,02_prompts/segments/ep001_segment01_attack_vortex_ray_prompt_v001_zh.md,none,image,1870x841,03_keyframes/episode_001/storyboards/ep001_segment01_attack_vortex_ray_storyboard_v001.png,4,draft,用户要求：生成攻击段故事板。,将四张攻击关键帧整合成单张故事板，用于视频模型理解腹部漩涡聚能、张嘴蓄发、射线横扫、漩涡变淡的连续流程。,后续上传视频工具时使用雪怪设定图 + 这张攻击段故事板 + 中文一镜到底 prompt。
2026-05-17,project,prompt_library_copy_format_cleanup,none,prompt_format_revision,02_prompts/prompt_library.md,02_prompts/prompt_library.md,none,prompt,none,02_prompts/prompt_library.md,0,draft,用户指出：prompt_library.md 里仍然没有统一成正向 prompt 和负向 Avoid 放在一起的模式。,prompt_library.md 中全局资产包、角色设定、角色动作、雪怪动作、道具场景仍残留“正向 Prompt / 负向 Prompt”分离格式，只有部分段落被改成了一键复制格式。,已将 prompt_library.md 中所有生成用 prompt 段落统一改为“一键复制 Prompt（正向内容 + Avoid 负向约束）”，每段末尾自带 Avoid:。
2026-05-19,ep001,segment01_ice_magic_vfx_cleanup,none,prompt_methodology_revision,"02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v004_ice_magic_no_crystals.md + 02_prompts/segments/ep001_segment01_attack_vortex_ray_prompt_v002_ice_magic_no_crystals_zh.md + 03_keyframes/episode_001/ep001_keyframe_prompts_v004_progressive_monster_birth_ice_magic_no_crystals.md",09_logs/video_generation_methodology.md,none,prompt,16:9,09_logs/decision_log.md,0,draft,用户反馈：第一段雪怪生成 prompt 不错，但经常生成菱形冰晶、悬浮水晶和硬质冰片，像最后插在雪怪身上的冰晶提前漂浮在空中，显得不自然且廉价。,"ice crystals / crystal shards / floating blue ice crystals / 晶莹剔透 等词会让模型把冰雪魔法误解成硬质水晶道具，而不是雾、粉、光和流体运动。","已按新规则另存新版本 prompt：v004 渐进生成、v002 攻击段、v004 关键帧 prompt；原 v001/v003 文件已恢复保留。新版本将冰晶漂浮写法改为细冰粉、霜雾微粒、半透明雪粉、柔和冰蓝光带和流体螺旋运动；Avoid 中新增菱形冰晶、悬浮水晶、硬质冰片、廉价粒子闪光等禁项。"
2026-05-19,ep001,keyframe_cleanup_storyboard_records,none,asset_organization,"03_keyframes/episode_001",03_keyframes/episode_001/README.md,none,folder,none,03_keyframes/episode_001/_discarded_legacy + 03_keyframes/episode_001/storyboard_records,0,draft,用户要求：关键帧文件夹还保留着一些废弃的可以清理一下，再加一个记录故事板的文件夹。,早期 Segment 01 废弃目录和 misfiled/previous 文件混在活跃关键帧目录里，会干扰当前生产选择；故事板图片有目录但缺少版本记录和上传说明。,已将早期废弃目录归档到 _discarded_legacy/old_segment01_folders，将明显 misfiled/previous 文件归档到 _discarded_legacy/misfiled_or_superseded；新增 storyboard_records/README.md 和 ep001_storyboard_log.md。
2026-05-19,ep001,segment01_progressive_birth_zh_prompt,none,prompt_creation,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v004_ice_magic_no_crystals.md,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v005_zh_storyboard_first_no_crystals.md,none,prompt,16:9,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v005_zh_storyboard_first_no_crystals.md,0,draft,用户反馈：雪怪生成 prompt 需要中文版，后续 prompt 都要中文；视频生成不能上传很多关键帧，要上传设定图和单张故事板，故事板仅做参考，动态必须由 prompt 明确描述。,英文 v004 仍保留了上传多张关键帧的旧思路；故事板不能让模型自动理解运动、特效和因果关系，必须用 prompt 写清楚时间轴、能量流向、物体位移和禁止错误。,已新增中文故事板输入版 v005 prompt；更新方法论、README 和故事板记录，明确后续视频 prompt 默认中文，并采用设定图 + 单张故事板 + 中文动态时间轴 prompt。
2026-05-19,ep001,segment01_progressive_birth_no_attack_v006,none,prompt_creation,用户提供中文参考 prompt,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v006_zh_static_layout_no_attack.md,none,prompt,16:9,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v006_zh_static_layout_no_attack.md,0,draft,用户反馈：应该参考用户给出的固定广角中文 prompt；第一段十秒没有攻击，到雪怪生成完成就停止。,此前 v005 仍把第一段写成完整现身加首次攻击，且使用故事板阶段参考；用户明确希望 Image2 是静态场景布局、动物初始位置和怪物最终站位参考，第一段不包含攻击。,"已新增 v006 中文固定场景布局无攻击版 prompt；明确 @Image1 是雪怪设计参考，@Image2 是静态布局参考；10 秒固定广角，背景不动，雪怪由腹部中心漩涡吸收粒子逐层生成，8-10 秒完整成型后停止，无攻击、无射线、无冰山破碎。"
2026-05-19,ep001,segment01_progressive_birth_frontloaded_v007,none,prompt_revision,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v006_zh_static_layout_no_attack.md,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v007_zh_frontloaded_no_attack.md,none,prompt,16:9,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v007_zh_frontloaded_no_attack.md,0,draft,用户反馈：v006 prompt 问题很大；缺少皮克斯风格3D动画；解释性句子没必要；模型主要精准执行前 200-300 字；“如果有冰晶”会误导模型生成冰晶。,v006 的一键复制正文里存在解释性低价值句子，高优先级信息不够前置，并且正向正文出现冰晶条件描述，容易触发模型生成冰晶。,"已新增 v007 中文前置信息精简版；把 Image 用途、10 秒 16:9、皮克斯风格3D动画、固定广角、背景不变、腹部漩涡生成放到开头；正向正文不再出现冰晶、如果、攻击等高风险词，攻击和水晶相关禁项只放在 Avoid 中。"
2026-05-19,ep001,segment01_progressive_birth_v008_slow_retreat,none,prompt_revision,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v007_zh_frontloaded_no_attack.md,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v008_zh_magic_vfx_slow_retreat.md,none,prompt,16:9,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v008_zh_magic_vfx_slow_retreat.md,0,draft,用户反馈：加上“【核心特效指令】梦幻冰雪魔法质感”；第一段结尾动物先不要逃跑，而是慢慢后退，后续雪怪吐射线视频再让动物惊慌逃跑。,v007 的特效标题不够显性，且结尾动物惊慌逃跑会提前消耗后续攻击段的情绪节奏。,已新增 v008：加回核心特效指令但不在正向提冰晶；8-10 秒动物改为害怕、震惊、缩在一起、慢慢后退；Avoid 中禁止动物四散奔逃和高速逃跑。
